ident,name,time,condition,clouds,visibility,winds,temperature,dew_point,pressure
KFWA,Fort Wayne International Airport,25 Apr 2021 21:54,Dry,Broken sky at 7620 meters,16093 meters,330 degrees at 9 knots,11,-1,30.0
KGEG,Spokane International Airport,25 Apr 2021 21:53,Dry,Scattered at 1219 meters; scattered at 1981 meters; broken sky at 3962 meters; broken sky at 6096 meters,16093 meters,190 degrees at 10 knots,11,-1,29.6
KGPT,Gulfport Biloxi International Airport,25 Apr 2021 21:53,Dry,Clear skies,16093 meters,200 degrees at 6 knots,24,14,29.9
KGRB,Austin Straubel International Airport,25 Apr 2021 21:53,Dry,Clear skies,16093 meters,120 degrees at 7 knots,9,-6,30.0
KGSB,Seymour Johnson Air Force Base,25 Apr 2021 21:56,Dry,Scattered at 1829 meters,16093 meters,350 degrees at 6 knots,21,9,29.8
KGSO,Piedmont Triad International Airport,25 Apr 2021 21:54,Dry,Scattered at 1676 meters; scattered at 7620 meters,16093 meters,350 degrees at 8 knots,19,5,29.9
KGSP,Greenville Spartanburg International Airport,25 Apr 2021 21:53,Dry,Clear skies,16093 meters,10 degrees at 10 knots,21,6,29.9
KGUS,Grissom Air Reserve Base,25 Apr 2021 21:56,Dry,Scattered at 6096 meters,16093 meters,350 degrees at 9 knots,11,0,30.0
KHIB,Range Regional Airport,25 Apr 2021 21:53,Dry,Overcast sky at 2896 meters,16093 meters,130 degrees at 11 knots,7,-11,29.9
KHMN,Holloman Air Force Base,25 Apr 2021 22:16,Dry,Clear skies,16093 meters,210 degrees at 11 knots,30,-11,29.8
KHOU,William P Hobby Airport,25 Apr 2021 21:53,Dry,A few at 1219 meters; scattered at 7620 meters,16093 meters,130 degrees at 10 knots,27,15,29.9
KHSV,Huntsville International Carl T Jones Field,25 Apr 2021 21:53,Dry,A few at 1829 meters,16093 meters,10 degrees at 8 knots,22,9,30.0
KHTS,Tri-State/Milton J. Ferguson Field,25 Apr 2021 21:51,Dry,Broken sky at 1524 meters,16093 meters,270 degrees at 8 knots,17,7,30.0
KIAD,Washington Dulles International Airport,25 Apr 2021 21:52,Dry,A few at 1524 meters; broken sky at 2286 meters; broken sky at 7620 meters,16093 meters,310 degrees at 14 knots,17,6,29.8
KIAH,George Bush Intercontinental Houston Airport,25 Apr 2021 21:53,Dry,A few at 1524 meters; a few at 7620 meters,16093 meters,140 degrees at 11 knots,27,14,29.9
KICT,Wichita Eisenhower National Airport,25 Apr 2021 21:53,Dry,A few at 1676 meters; a few at 4572 meters,16093 meters,190 degrees at 20 knots,24,12,29.7
KIND,Indianapolis International Airport,25 Apr 2021 21:54,Dry,Scattered at 7620 meters,16093 meters,10 degrees at 6 knots,14,1,30.0
KJAN,Jackson-Medgar Wiley Evers International Airport,25 Apr 2021 21:54,Dry,Clear skies,16093 meters,20 degrees at 5 knots,25,9,30 i
KJAX,Jacksonville International Airport,25 Apr 2021 21:56,Dry,A few at 1219 meters,16093 meters,330 degrees at 4 knots,26,14,29.8
KJFK,John F Kennedy International Airport,25 Apr 2021 21:51,Dry,Scattered at 1341 meters; broken sky at 2134 meters,16093 meters,340 degrees at 13 knots,17,6,29.7
KJLN,Joplin Regional Airport,25 Apr 2021 21:53,Dry,Clear skies,16093 meters,180 degrees at 15 knots,24,6,29.8
KLAS,McCarran International Airport,25 Apr 2021 21:56,Dry,A few at 3658 meters; scattered at 4877 meters; broken sky at 6096 meters,16093 meters,250 degrees at 21 knots,25,-9,29.6
KLAX,Los Angeles International Airport,25 Apr 2021 21:53,Dry,A few at 640 meters; scattered at 884 meters; scattered at 4572 meters; broken sky at 7620 meters,16093 meters,250 degrees at 10 knots,17,10,29.9
KLBB,Lubbock Preston Smith International Airport,25 Apr 2021 21:53,Dry,A few at 5486 meters; scattered at 7620 meters,16093 meters,210 degrees at 19 knots,33,-8,29.7
KLCK,Rickenbacker International Airport,25 Apr 2021 21:55,Dry,Clear skies,16093 meters,310 degrees at 11 knots,15,3,30.0
KLEX,Blue Grass Airport,25 Apr 2021 21:54,Dry,Clear skies,16093 meters,Calm,15,7,30.0
KLFI,Langley Air Force Base,25 Apr 2021 21:56,Dry,Scattered at 1676 meters,16093 meters,310 degrees at 10 knots,18,9,29.8
KLFT,Lafayette Regional Airport,25 Apr 2021 21:53,Dry,Clear skies,16093 meters,Variable at 3 knots,26,11,29.9
KLGA,La Guardia Airport,25 Apr 2021 21:51,Dry,A few at 1463 meters; scattered at 1981 meters; broken sky at 7010 meters,16093 meters,320 degrees at 11 knots,17,6,29.7
KLIT,Bill & Hillary Clinton National Airport/Adams Field,25 Apr 2021 21:53,Dry,Clear skies,16093 meters,110 degrees at 9 knots,23,11,30 i
KLTS,Altus Air Force Base,25 Apr 2021 21:56,Dry,Clear skies,16093 meters,150 degrees at 19 knots,30,14,29.7
KLUF,Luke Air Force Base,25 Apr 2021 22:06,,Clear skies,16093 meters,250 degrees at 14 knots,,, inH
KMBS,MBS International Airport,25 Apr 2021 21:53,Dry,Clear skies,16093 meters,310 degrees at 9 knots,9,-7,30.0
KMCF,Mac Dill Air Force Base,25 Apr 2021 21:56,Dry,A few at 2134 meters,16093 meters,300 degrees at 8 knots,27,17,29.8
KMCI,Kansas City International Airport,25 Apr 2021 21:53,Dry,A few at 4267 meters; a few at 6096 meters,16093 meters,160 degrees at 21 knots,24,8,29.7
KMCO,Orlando International Airport,25 Apr 2021 21:53,Dry,A few at 1433 meters,16093 meters,260 degrees at 13 knots,30,16,29.8
KMDW,Chicago Midway International Airport,25 Apr 2021 21:53,Dry,A few at 1829 meters; a few at 4877 meters; broken sky at 7620 meters,16093 meters,70 degrees at 9 knots,6,-5,30.1
KMEM,Memphis International Airport,25 Apr 2021 21:54,Dry,A few at 1524 meters,16093 meters,180 degrees at 6 knots,23,8,30.0
KMGE,Dobbins Air Reserve Base,25 Apr 2021 21:56,Dry,A few at 1372 meters,16093 meters,320 degrees at 13 knots,19,8,29.9
KMGM,Montgomery Regional (Dannelly Field) Airport,25 Apr 2021 21:53,Dry,Clear skies,16093 meters,320 degrees at 9 knots,25,10,29.9
KMHT,Manchester-Boston Regional Airport,25 Apr 2021 21:53,Dry,Broken sky at 1067 meters; broken sky at 6096 meters,16093 meters,30 degrees at 6 knots,12,6,29.6
KMIA,Miami International Airport,25 Apr 2021 21:53,Dry,A few at 1524 meters,16093 meters,260 degrees at 11 knots,32,19,29.8
KMKE,General Mitchell International Airport,25 Apr 2021 21:52,Dry,Broken sky at 7620 meters,16093 meters,70 degrees at 9 knots,5,-3,30.1
KMLI,Quad City International Airport,25 Apr 2021 21:52,Dry,Clear skies,16093 meters,90 degrees at 12 knots,13,-2,30.0
KMLU,Monroe Regional Airport,25 Apr 2021 21:53,Dry,Clear skies,16093 meters,Calm,24,11,30.0
KMOB,Mobile Regional Airport,25 Apr 2021 21:56,Dry,Clear skies,16093 meters,10 degrees at 9 knots,26,11,29.9
KMSN,Dane County Regional Truax Field,25 Apr 2021 21:53,Dry,A few at 3048 meters; scattered at 3962 meters; scattered at 6096 meters; broken sky at 7620 meters,16093 meters,130 degrees at 7 knots,9,-7,30.0
KMSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,25 Apr 2021 21:53,Dry,Overcast sky at 1433 meters,16093 meters,120 degrees at 13 knots,6,-2,29.9
KMSY,Louis Armstrong New Orleans International Airport,25 Apr 2021 21:53,Dry,Clear skies,16093 meters,310 degrees at 6 knots,26,12,29.9
KMUO,Mountain Home Air Force Base,25 Apr 2021 21:58,Dry,Broken sky at 2591 meters; broken sky at 3658 meters,16093 meters,40 degrees at 4 knots,11,6,29.7
KOAK,Metropolitan Oakland International Airport,25 Apr 2021 21:53,Dry,A few at 305 meters; scattered at 549 meters; broken sky at 914 meters; overcast sky at 4267 meters,16093 meters,220 degrees at 14 knots,14,9,29.9
KOKC,Will Rogers World Airport,25 Apr 2021 21:52,Dry,Clear skies,16093 meters,170 degrees at 22 knots,25,12,29.7
KOMA,Eppley Airfield,25 Apr 2021 21:52,Dry,A few at 2438 meters; broken sky at 7620 meters,16093 meters,180 degrees at 22 knots,25,4,29.6
KONT,Ontario International Airport,25 Apr 2021 21:53,Dry,A few at 1494 meters; broken sky at 7620 meters,16093 meters,290 degrees at 10 knots,21,6,29.8
KORD,Chicago O'Hare International Airport,25 Apr 2021 21:51,Dry,A few at 1829 meters; scattered at 7620 meters,16093 meters,50 degrees at 11 knots,6,-5,30.1
KORF,Norfolk International Airport,25 Apr 2021 21:51,Dry,A few at 1676 meters,16093 meters,350 degrees at 8 knots,19,8,29.8
KPAM,Tyndall Air Force Base,25 Apr 2021 21:56,Dry,Clear skies,16093 meters,280 degrees at 14 knots,23,15,29.9
KPBI,Palm Beach International Airport,25 Apr 2021 21:53,Dry,Scattered at 1067 meters,16093 meters,270 degrees at 16 knots,33,18,29.8
KPDX,Portland International Airport,25 Apr 2021 21:53,Dry,Broken sky at 1219 meters; broken sky at 1829 meters,16093 meters,Calm,15,4,29.7
KPHF,Newport News Williamsburg International Airport,25 Apr 2021 21:54,Dry,A few at 1676 meters,16093 meters,320 degrees at 9 knots,18,8,29.8
KPHL,Philadelphia International Airport,25 Apr 2021 21:54,Dry,A few at 1524 meters; broken sky at 2134 meters,16093 meters,310 degrees at 13 knots,18,6,29.7
KPHX,Phoenix Sky Harbor International Airport,25 Apr 2021 21:51,Dry,A few at 7620 meters,16093 meters,310 degrees at 14 knots,34,-4,29.6
KPIA,General Wayne A. Downing Peoria International Airport,25 Apr 2021 21:54,Dry,Clear skies,16093 meters,110 degrees at 8 knots,16,-1,30.0
KPIT,Pittsburgh International Airport,25 Apr 2021 21:51,Dry,A few at 1524 meters; a few at 7620 meters,16093 meters,310 degrees at 15 knots,13,4,29.9
KPVD,Theodore Francis Green State Airport,25 Apr 2021 22:14,Dry,Scattered at 823 meters; overcast sky at 1341 meters,16093 meters,350 degrees at 15 knots,13,6,29.6
KPWM,Portland International Jetport Airport,25 Apr 2021 21:51,Dry,Scattered at 1372 meters; overcast sky at 1676 meters,16093 meters,90 degrees at 4 knots,11,5,29.7
KRDU,Raleigh Durham International Airport,25 Apr 2021 21:51,Dry,Broken sky at 1829 meters,16093 meters,340 degrees at 9 knots,21,7,29.8
KRFD,Chicago Rockford International Airport,25 Apr 2021 21:54,Dry,Broken sky at 4572 meters; overcast sky at 7620 meters,16093 meters,60 degrees at 6 knots,12,-6,30.0
KRIC,Richmond International Airport,25 Apr 2021 21:54,Dry,A few at 1524 meters; scattered at 2438 meters; broken sky at 7620 meters,16093 meters,340 degrees at 16 knots,20,6,29.8
KRND,Randolph Air Force Base,25 Apr 2021 21:56,Dry,Clear skies,16093 meters,160 degrees at 12 knots,31,12,29.8
KRNO,Reno Tahoe International Airport,25 Apr 2021 21:55,Dry,A few at 1676 meters; scattered at 2134 meters; broken sky at 3658 meters; broken sky at 4877 meters; broken sky at 6706 meters,16093 meters,190 degrees at 21 knots,12,-6,29.7
KROA,Roanoke–Blacksburg Regional Airport,25 Apr 2021 21:54,Dry,Scattered at 1676 meters; scattered at 1829 meters,16093 meters,300 degrees at 13 knots,17,5,29.9
KROC,Greater Rochester International Airport,25 Apr 2021 21:54,Dry,A few at 1372 meters; scattered at 7620 meters,16093 meters,320 degrees at 19 knots,9,0,29.8
KRST,Rochester International Airport,25 Apr 2021 21:54,Dry,Broken sky at 3658 meters,16093 meters,110 degrees at 17 knots,7,-1,29.9
KRSW,Southwest Florida International Airport,25 Apr 2021 21:53,Dry,A few at 792 meters,16093 meters,280 degrees at 9 knots,29,22,29.9
KSAN,San Diego International Airport,25 Apr 2021 21:51,Dry,A few at 914 meters; a few at 7620 meters,16093 meters,290 degrees at 7 knots,18,9,29.9
KSAT,San Antonio International Airport,25 Apr 2021 21:51,Dry,Scattered at 7620 meters,16093 meters,160 degrees at 10 knots,31,11,29.9
KSAV,Savannah Hilton Head International Airport,25 Apr 2021 21:53,Dry,Scattered at 1280 meters; broken sky at 1524 meters,16093 meters,330 degrees at 10 knots,25,14,29.8
KSBN,South Bend Regional Airport,25 Apr 2021 21:54,Dry,Clear skies,16093 meters,360 degrees at 10 knots,4,-3,30.1
KSDF,Louisville International Standiford Field,25 Apr 2021 21:56,Dry,Broken sky at 1524 meters,16093 meters,80 degrees at 5 knots,19,6,30.0
KSEA,Seattle Tacoma International Airport,25 Apr 2021 21:53,Dry,A few at 914 meters; scattered at 1524 meters; broken sky at 2591 meters,16093 meters,240 degrees at 10 knots,15,4,29.7
KSFB,Orlando Sanford International Airport,25 Apr 2021 21:53,Dry,Clear skies,16093 meters,260 degrees at 12 knots,30,8,29.8
KSFO,San Francisco International Airport,25 Apr 2021 21:56,Light rain,A few at 610 meters; scattered at 1128 meters; broken sky at 1676 meters; overcast sky at 4572 meters,11265 meters,210 degrees at 15 knots,14,9,29.9
KSGF,Springfield Branson National Airport,25 Apr 2021 21:52,Dry,Clear skies,16093 meters,160 degrees at 16 knots,23,7,29.9
KSJC,Norman Y. Mineta San Jose International Airport,25 Apr 2021 21:53,Light rain,A few; broken sky at 1372 meters; overcast sky at 4877 meters,16093 meters,190 degrees at 7 knots,14,7,29.8
KSKA,Fairchild Air Force Base,25 Apr 2021 21:58,Dry,A few at 1280 meters; scattered at 1524 meters; scattered at 2896 meters,16093 meters,190 degrees at 10 knots,13,0,29.6
KSLC,Salt Lake City International Airport,25 Apr 2021 21:54,Dry,A few at 2591 meters; scattered at 3048 meters; broken sky at 4267 meters,16093 meters,330 degrees at 12 knots,16,2,29.6
KSMF,Sacramento International Airport,25 Apr 2021 21:53,Dry,Broken sky at 1067 meters; broken sky at 1676 meters; overcast sky at 2896 meters,16093 meters,200 degrees at 20 knots,16,6,29.8
KSNA,John Wayne Airport-Orange County Airport,25 Apr 2021 21:53,Dry,A few at 914 meters; scattered at 7620 meters,16093 meters,200 degrees at 13 knots,19,8,29.8
KSPI,Abraham Lincoln Capital Airport,25 Apr 2021 21:52,Dry,Clear skies,16093 meters,100 degrees at 6 knots,17,4,30.0
KSPS,Sheppard Air Force Base-Wichita Falls Municipal Airport,25 Apr 2021 21:52,Dry,Clear skies,16093 meters,160 degrees at 18 knots,29,13,29.7
KSRQ,Sarasota Bradenton International Airport,25 Apr 2021 21:53,Dry,A few at 1067 meters,16093 meters,280 degrees at 10 knots,26,22,29.8
KSSC,Shaw Air Force Base,25 Apr 2021 21:56,Dry,Broken sky at 1829 meters,16093 meters,330 degrees at 6 knots,25,10,29.8
KSTL,St Louis Lambert International Airport,25 Apr 2021 21:51,Dry,A few at 5791 meters; scattered at 7620 meters,16093 meters,120 degrees at 7 knots,19,5,30.0
KSUS,Spirit of St Louis Airport,25 Apr 2021 21:54,Dry,Clear skies,16093 meters,100 degrees at 9 knots,19,5,30 i
KSUU,Travis Air Force Base,25 Apr 2021 22:13,Dry,Scattered at 671 meters; broken sky at 823 meters; broken sky at 3048 meters; broken sky at 6096 meters,16093 meters,190 degrees at 17 knots,17,8,29.8
KSUX,Sioux Gateway Col. Bud Day Field,25 Apr 2021 21:52,Dry,Clear skies,16093 meters,150 degrees at 16 knots,22,6,29.6
KSYR,Syracuse Hancock International Airport,25 Apr 2021 21:54,Dry,Scattered at 1250 meters; scattered at 2286 meters,16093 meters,300 degrees at 20 knots,12,2,29.8
KSZL,Whiteman Air Force Base,25 Apr 2021 21:56,Dry,A few at 4572 meters; scattered at 6096 meters,16093 meters,160 degrees at 14 knots,23,8,29.8
KTCM,McChord Air Force Base,25 Apr 2021 22:14,Dry,Scattered at 1311 meters; broken sky at 1676 meters; overcast sky at 2134 meters,16093 meters,270 degrees at 16 knots,14,5,29.7
KTIK,Tinker Air Force Base,25 Apr 2021 21:56,Dry,Clear skies,16093 meters,180 degrees at 22 knots,25,12,29.8
KTLH,Tallahassee Regional Airport,25 Apr 2021 21:53,Dry,Clear skies,16093 meters,360 degrees at 8 knots,26,13,29.9
KTOL,Toledo Express Airport,25 Apr 2021 21:52,Dry,Clear skies,16093 meters,310 degrees at 7 knots,14,-3,30.0
KTPA,Tampa International Airport,25 Apr 2021 21:53,Dry,A few at 1676 meters; a few at 7620 meters,16093 meters,270 degrees at 9 knots,27,17,29.9
KTRI,Tri-Cities Regional TN/VA Airport,25 Apr 2021 21:53,Dry,Scattered at 1676 meters; scattered at 2134 meters; broken sky at 7620 meters,16093 meters,290 degrees at 8 knots,18,4,30.0
KTUL,Tulsa International Airport,25 Apr 2021 21:53,Dry,Clear skies,16093 meters,160 degrees at 18 knots,26,10,29.8
KTUS,Tucson International Airport,25 Apr 2021 21:53,Dry,Clear skies,16093 meters,220 degrees at 10 knots,33,-12,29.8
KTYS,McGhee Tyson Airport,25 Apr 2021 21:53,Dry,A few at 1524 meters,16093 meters,80 degrees at 7 knots,18,7,30.0
KVBG,Vandenberg Air Force Base,25 Apr 2021 22:13,Dry,Overcast sky at 244 meters,16093 meters,270 degrees at 6 knots,13,10,29.9
KVPS,Destin-Ft Walton Beach Airport,25 Apr 2021 22:20,Haze,Clear skies,402 meters,360 degrees at 7 knots,27,11,29.9
KWRB,Robins Air Force Base,25 Apr 2021 21:56,Dry,Clear skies,16093 meters,320 degrees at 9 knots,25,12,29.9
LATI,Tirana International Airport Mother Teresa,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,150 degrees at 4 knots,9,6,1016
LBBG,Burgas Airport,25 Apr 2021 22:30,Dry,Scattered at 274 meters; broken sky at 427 meters,7000 meters,310 degrees at 3 knots,6,6,1018
LBSF,Sofia Airport,25 Apr 2021 22:30,Dry,Clear skies,Greater than 10 km,140 degrees at 6 knots,6,3,1017
LBWN,Varna Airport,25 Apr 2021 22:30,Dry,Broken sky at 213 meters,9000 meters,280 degrees at 4 knots,4,4,1018
LCLK,Larnaca International Airport,25 Apr 2021 22:30,Dry,A few at 122 meters,Greater than 10 km,Calm,15,12,1004
LCPH,Paphos International Airport,25 Apr 2021 22:30,Dry,Clear skies,Greater than 10 km,20 degrees at 6 knots,15,7,1004
LCRA,RAF Akrotiri,25 Apr 2021 21:50,Dry,Clear skies,Greater than 10 km,250 degrees at 7 knots,18,15,1004
LDZA,Zagreb Airport,25 Apr 2021 22:30,Dry,Clear skies,Greater than 10 km,50 degrees at 13 knots,12,0,1019
LEAL,Alicante International Airport,25 Apr 2021 22:00,Dry,A few at 914 meters  cumulonimbus; broken sky at 1372 meters,Greater than 10 km,60 degrees at 10 knots,18,14,1007
LEBL,Barcelona International Airport,25 Apr 2021 22:00,Dry,Clear skies,Greater than 10 km,50 degrees at 13 knots,17,9,1012
LEMD,Adolfo Suárez Madrid–Barajas Airport,25 Apr 2021 22:00,Dry,A few at 274 meters; scattered at 457 meters,Greater than 10 km,170 degrees at 5 knots,11,11,1010
LEMG,Málaga Airport,25 Apr 2021 22:00,Dry,A few at 2134 meters,Greater than 10 km,270 degrees at 4 knots,17,14,1009
LEPA,Palma De Mallorca Airport,25 Apr 2021 22:00,Dry,Clear skies,Greater than 10 km,60 degrees at 10 knots,16,12,1009
LEST,Santiago de Compostela Airport,25 Apr 2021 22:00,Light showers of rain,A few at 1067 meters  towering cumulus,9000 meters,100 degrees at 3 knots,13,12,1009
LFBD,Bordeaux-Mérignac Airport,25 Apr 2021 22:00,Dry,Clear skies,Greater than 10 km,Variable at 2 knots,16,10,1010
LFBO,Toulouse-Blagnac Airport,25 Apr 2021 22:30,Dry,Clear skies,Greater than 10 km,130 degrees at 10 knots,15,6,1010
LFLL,Lyon Saint-Exupéry Airport,25 Apr 2021 22:00,Dry,Clear skies,Greater than 10 km,220 degrees at 3 knots,16,4,1013
LFML,Marseille Provence Airport,25 Apr 2021 22:30,Dry,Clear skies,Greater than 10 km,100 degrees at 3 knots,13,7,1013
LFMN,Nice-Côte d'Azur Airport,25 Apr 2021 22:00,Dry,Clear skies,Greater than 10 km,20 degrees at 2 knots,15,11,1015
LFOA,Avord (BA 702) Air Base,25 Apr 2021 22:00,Dry,Clear skies,Greater than 10 km,50 degrees at 17 knots,14,1,1015
LFPG,Charles de Gaulle International Airport,25 Apr 2021 22:30,Dry,Clear skies,Greater than 10 km,40 degrees at 14 knots,8,0,1020
LFPO,Paris-Orly Airport,25 Apr 2021 22:30,Dry,Clear skies,Greater than 10 km,30 degrees at 16 knots,10,0,1019
LFSB,EuroAirport Basel-Mulhouse-Freiburg Airport,25 Apr 2021 22:30,Dry,Clear skies,Greater than 10 km,330 degrees at 8 knots,9,-1,1017
LGAV,Eleftherios Venizelos International Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,Variable at 3 knots,13,4,1016
LGIR,Heraklion International Nikos Kazantzakis Airport,25 Apr 2021 22:20,Dry,A few at 610 meters; scattered at 914 meters,Greater than 10 km,290 degrees at 18 knots,16,10,1014
LGTS,Thessaloniki Macedonia International Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,100 degrees at 4 knots,10,8,1017
LHBP,Budapest Liszt Ferenc International Airport,25 Apr 2021 22:30,Dry,Clear skies,Greater than 10 km,320 degrees at 6 knots,6,-5,1020
LIBD,Bari Karol Wojtyła Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,230 degrees at 6 knots,10,5,1016
LICC,Catania-Fontanarossa Airport,25 Apr 2021 22:20,Dry,Scattered at 1524 meters,Greater than 10 km,260 degrees at 6 knots,14,11,1018
LICJ,Falcone–Borsellino Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,Variable at 2 knots,16,11,1017
LIEE,Cagliari Elmas Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,180 degrees at 11 knots,16,10,1014
LIMC,Malpensa International Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,70 degrees at 3 knots,13,6,1014
LIME,Il Caravaggio International Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,20 degrees at 4 knots,15,8,1014
LIMF,Turin Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,360 degrees at 4 knots,15,8,1013
LIMJ,Genoa Cristoforo Colombo Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,Variable at 2 knots,15,10,1015
LIML,Milano Linate Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,Variable at 2 knots,16,4,1014
LIPE,Bologna Guglielmo Marconi Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,70 degrees at 4 knots,14,6,1014
LIPH,Treviso-Sant'Angelo Airport,25 Apr 2021 22:20,Dry,Nil cloud detected,Greater than 10 km,Calm,14,10,1015
LIPX,Verona Villafranca Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,80 degrees at 5 knots,16,6,1014
LIPZ,Venice Marco Polo Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,20 degrees at 5 knots,14,11,1016
LIRA,Ciampino–G. B. Pastine International Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,Variable at 2 knots,13,8,1017
LIRF,Leonardo da Vinci–Fiumicino Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,90 degrees at 4 knots,11,10,1017
LIRN,Naples International Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,Variable at 1 knots,13,8,1018
LIRP,Pisa International Airport,25 Apr 2021 22:15,Dry,Clear skies,Greater than 10 km,150 degrees at 6 knots,10,8,1017
LJLJ,Ljubljana Jože Pučnik Airport,25 Apr 2021 22:30,Dry,A few at 701 meters; broken sky at 1981 meters,Greater than 10 km,130 degrees at 6 knots,11,6,1018
LKPR,Václav Havel Airport Prague,25 Apr 2021 22:30,Dry,Clear skies,Greater than 10 km,290 degrees at 3 knots,1,-1,1023
LLBG,Ben Gurion International Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,Variable at 2 knots,21,11,1003
LLOV,Ovda International Airport,w at LLOV:,Clear,Clear sky, 0%,160 at 6kts,26, 26,1007
LMML,Malta International Airport,25 Apr 2021 22:15,Dry,Clear skies,Greater than 10 km,220 degrees at 4 knots,14,12,1018
LOWW,Vienna International Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,350 degrees at 3 knots,6,-3,1021
LPFR,Faro Airport,25 Apr 2021 22:30,Dry,A few at 610 meters,Greater than 10 km,120 degrees at 4 knots,17,16,1008
LPLA,Lajes Airport,25 Apr 2021 22:00,Dry,A few at 549 meters; broken sky at 762 meters,Greater than 10 km,Calm,16,13,1018
LPPD,João Paulo II Airport,25 Apr 2021 22:30,Light showers of rain,A few at 488 meters; broken sky at 762 meters,Greater than 10 km,350 degrees at 9 knots,15,11,1016
LPPR,Francisco de Sá Carneiro Airport,25 Apr 2021 22:30,Dry,A few at 823 meters,Greater than 10 km,Calm,15,14,1008
LPPT,Humberto Delgado Airport (Lisbon Portela Airport),25 Apr 2021 22:30,Dry,A few at 366 meters; scattered at 1402 meters,Greater than 10 km,120 degrees at 4 knots,16,14,1008
LQSA,Sarajevo International Airport,25 Apr 2021 22:00,Dry,Clear skies,Greater than 10 km,150 degrees at 3 knots,8,-1,1017
LROP,Henri Coandă International Airport,25 Apr 2021 22:30,Dry,Clear skies,Greater than 10 km,210 degrees at 5 knots,8,3,1016
LSGG,Geneva Cointrin International Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,40 degrees at 6 knots,15,2,1014
LSZH,Zürich Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,60 degrees at 12 knots,12,-3,1017
LTAC,Esenboğa International Airport,25 Apr 2021 22:20,Dry,Scattered at 1067 meters; broken sky at 2743 meters,Greater than 10 km,40 degrees at 5 knots,10,9,1010
LTAF,Adana Airport,25 Apr 2021 22:20,Dry,Scattered at 1067 meters; broken sky at 6096 meters,Greater than 10 km,Variable at 2 knots,16,15,1004
LTAI,Antalya International Airport,25 Apr 2021 22:20,Dry,Scattered at 914 meters; broken sky at 3658 meters,Greater than 10 km,270 degrees at 4 knots,18,14,1005
LTAJ,Gaziantep International Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,Calm,18,8,1005
LTBA,Atatürk International Airport,25 Apr 2021 22:20,Dry,A few at 610 meters; broken sky at 1219 meters,Greater than 10 km,70 degrees at 10 knots,10,6,1017
LTBJ,Adnan Menderes International Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,360 degrees at 15 knots,13,9,1010
LTBS,Dalaman International Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,90 degrees at 5 knots,14,13,1005
LTCE,Erzurum International Airport,25 Apr 2021 22:20,Dry,Scattered at 1067 meters; broken sky at 2134 meters,Greater than 10 km,40 degrees at 4 knots,9,4,1016
LTCG,Trabzon International Airport,25 Apr 2021 22:20,Light showers of rain,Scattered at 335 meters; broken sky at 792 meters,Greater than 10 km,100 degrees at 8 knots,12,10,1014
LTFC,Süleyman Demirel International Airport,25 Apr 2021 22:20,Dry,Scattered at 914 meters; broken sky at 3048 meters,Greater than 10 km,340 degrees at 17 knots,13,7,1010
LTFE,Milas Bodrum International Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,70 degrees at 5 knots,16,11,1008
LTFJ,Sabiha Gökçen International Airport,25 Apr 2021 22:20,Dry,Scattered at 274 meters; broken sky at 914 meters; broken sky at 2743 meters,Greater than 10 km,50 degrees at 12 knots,9,7,1016
LWSK,Skopje Alexander the Great Airport,25 Apr 2021 22:00,Dry,Clear skies,Greater than 10 km,Calm,7,3,1016
LYBE,Belgrade Nikola Tesla Airport,25 Apr 2021 22:30,Dry,Clear skies,Greater than 10 km,360 degrees at 10 knots,11,2,1017
LYPG,Podgorica Airport,25 Apr 2021 21:00,Dry,Clear skies,Greater than 10 km,210 degrees at 2 knots,13,6,1015
